samplename	size_factor
2169Ta.bam	1.72145198744603
2169Tb.bam	1.32943846306548
2651T.bam	1.35372131857264
2652T.bam	1.41499596334227
2654T.bam	1.12017830331845
2655T.bam	0.592785630447889
2658T.bam	1.27427435714428
2659T.bam	1.1883889962959
2689T.bam	1.02311462084727
2693T1.bam	1.90132732038834
3130T.bam	1.5764704349272
3131T.bam	1.11375114827338
3132T.bam	1.62911268779449
3134T.bam	1.91170501599937
3135T.bam	0.749284806894875
3136T.bam	1.22827391581028
3137T.bam	1.49908942334584
3139T.bam	0.0292326974237223
3145T1a.bam	0.243240430569419
3203T1A1a.bam	1.37873623253216
3302T1a.bam	1.73589112499212
